glyph,en_tts,zh_tts,en_keywords,zh_keywords,source
🔓,unlocked,打开的锁,cracked | lock | open | unlock | unlocked,取消锁定 | 开锁 | 打开 | 打开的锁 | 破解 | 解锁 | 锁,CLDR release-46 annotations
🔔,bell,铃铛,bell | break | church | sound,叮当 | 响铃 | 钟 | 钟声 | 铃声 | 铃铛,CLDR release-46 annotations
🔕,bell with slash,禁止响铃,bell | forbidden | mute | no | not | prohibited | quiet | silent | slash | sound,响铃关闭 | 安静 | 无声 | 禁止响铃 | 铃 | 静音,CLDR release-46 annotations
🔖,bookmark,书签,bookmark | mark,书签 | 标签 | 读书 | 阅读,CLDR release-46 annotations
🔗,link,链接,link | links,网址 | 链接 | 链条 | 锁链,CLDR release-46 annotations
🔘,radio button,单选按钮,button | geometric | radio,单独 | 单选按钮 | 单选钮 | 圆心 | 按钮 | 按键 | 选中,CLDR release-46 annotations
🔙,BACK arrow,返回箭头,arrow | BACK,回退 | 箭头 | 返回 | 返回箭头,CLDR release-46 annotations
🔚,END arrow,结束箭头,arrow | END,箭头 | 终点 | 结束 | 结束箭头,CLDR release-46 annotations
🔛,ON! arrow,ON! 箭头,arrow | mark | ON!,ON | ON! 箭头 | 开始 | 标识 | 箭头,CLDR release-46 annotations
🔜,SOON arrow,SOON 箭头,arrow | brb | omw | SOON,SOON 箭头 | 在路上 | 立刻回来 | 箭头 | 马上,CLDR release-46 annotations
🔝,TOP arrow,置顶,arrow | homie | TOP | up,向上 | 标识 | 置顶 | 顶,CLDR release-46 annotations
🔞,no one under eighteen,18禁,18 | age | eighteen | forbidden | no | not | one | prohibited | restriction | underage,18禁 | 儿童不宜 | 未成年人不宜 | 禁止,CLDR release-46 annotations
🔠,input latin uppercase,输入大写拉丁字母,ABCD | input | latin | letters | uppercase,ABCD | 大写字母 | 大写字母键 | 字母 | 打字 | 拉丁文 | 输入大写拉丁字母 | 输入法,CLDR release-46 annotations
🔡,input latin lowercase,输入小写拉丁字母,abcd | input | latin | letters | lowercase,abcd | 小写字母 | 小写字母键 | 打字 | 拉丁文 | 输入小写字母 | 输入小写拉丁字母 | 输入法,CLDR release-46 annotations
🔢,input numbers,输入数字,1234 | input | numbers,1234 | 打字 | 数字 | 输入数字,CLDR release-46 annotations
🔣,input symbols,输入符号,& | % | ♪ | 〒 | input | symbols,字符 | 打字 | 符号 | 输入符号,CLDR release-46 annotations
🔤,input latin letters,输入拉丁字母,abc | alphabet | input | latin | letters,abc | 字母 | 打字 | 拉丁字母 | 拉丁字母键 | 拉丁文 | 输入字母 | 输入拉丁字母,CLDR release-46 annotations
🔥,fire,火焰,af | burn | fire | flame | hot | lit | litaf | tool,火 | 火焰 | 烧 | 燃烧,CLDR release-46 annotations
🔦,flashlight,手电筒,electric | flashlight | light | tool | torch,光 | 工具 | 手电 | 手电筒 | 照明 | 电筒,CLDR release-46 annotations
🔧,wrench,扳手,home | improvement | spanner | tool | wrench,家居修缮 | 工具 | 扳手 | 螺丝扳手,CLDR release-46 annotations
🔨,hammer,锤子,hammer | home | improvement | repairs | tool,修理 | 家居修缮 | 工具 | 敲 | 施工 | 砸 | 铁锤 | 锤子,CLDR release-46 annotations
🔩,nut and bolt,螺母与螺栓,bolt | home | improvement | nut | tool,工具 | 螺丝 | 螺帽 | 螺栓 | 螺母 | 螺母与螺栓 | 螺钉,CLDR release-46 annotations
🔪,kitchen knife,菜刀,chef | cooking | hocho | kitchen | knife | tool | weapon,主厨 | 刀 | 武器 | 烹饪 | 菜刀,CLDR release-46 annotations
🔫,water pistol,水枪,gun | handgun | pistol | revolver | tool | water | weapon,工具 | 左轮 | 手枪 | 枪 | 武器 | 水枪,CLDR release-46 annotations
🔬,microscope,显微镜,experiment | lab | microscope | science | tool,实验 | 实验室 | 工具 | 显微镜 | 生物 | 科学 | 细胞,CLDR release-46 annotations
🔭,telescope,望远镜,contact | extraterrestrial | science | telescope | tool,外星人 | 天体 | 天文 | 天文学 | 工具 | 接触 | 望远镜 | 科学 | 观星,CLDR release-46 annotations
🔮,crystal ball,水晶球,ball | crystal | fairy | fairytale | fantasy | fortune | future | magic | tale | tool,命运 | 工具 | 梦幻 | 水晶 | 水晶球 | 球 | 童话 | 财富 | 魔法,CLDR release-46 annotations
🔯,dotted six-pointed star,带中间点的六芒星,dotted | fortune | jewish | judaism | six-pointed | star,六芒星 | 六芒星加圆点 | 六角星 | 命运 | 带中间点的六芒星 | 犹太 | 犹太教,CLDR release-46 annotations
🔰,Japanese symbol for beginner,日本新手驾驶标志,beginner | chevron | green | Japanese | leaf | symbol | tool | yellow,V 型臂章 | V形图案 | 人字形图记 | 军警 | 叶状 | 实习 | 新手 | 日本新手驾驶标志 | 箭尾,CLDR release-46 annotations
🔱,trident emblem,三叉戟徽章,anchor | emblem | poseidon | ship | tool | trident,三叉戟 | 三叉戟徽章 | 工具 | 波塞冬 | 船 | 锚,CLDR release-46 annotations
🔲,black square button,黑色方形按钮,black | button | geometric | square,几何 | 几何图形 | 按钮 | 方形 | 黑线方形按钮 | 黑线正方形按钮 | 黑色方形按钮 | 黑色正方形按钮 | 黑边线方形按钮 | 黑边线正方形按钮,CLDR release-46 annotations
🔳,white square button,白色方形按钮,button | geometric | outlined | square | white,按钮 | 方形 | 白线方形按钮 | 白线正方形按钮 | 白色方形按钮 | 白色正方形按钮 | 白边线方形按钮 | 白边线正方形按钮,CLDR release-46 annotations
🔴,red circle,红色圆,circle | geometric | red,几何 | 圆 | 圈 | 红 | 红圈 | 红色 | 红色圆,CLDR release-46 annotations
🔵,blue circle,蓝色圆,blue | circle | geometric,圆 | 圈 | 蓝 | 蓝圈 | 蓝色圆,CLDR release-46 annotations
🔶,large orange diamond,橙色大菱形,diamond | geometric | large | orange,大 | 方块 | 方片 | 橘色方块 | 橘黄色 | 橙色大菱形 | 橙色方块 | 菱形 | 钻石,CLDR release-46 annotations
🔷,large blue diamond,蓝色大菱形,blue | diamond | geometric | large,大 | 方块 | 方片 | 菱形 | 蓝色 | 蓝色大菱形 | 钻石,CLDR release-46 annotations
🔸,small orange diamond,橙色小菱形,diamond | geometric | orange | small,小 | 方块 | 方片 | 橘色方块 | 橘黄色 | 橙色小菱形 | 菱形,CLDR release-46 annotations
🔹,small blue diamond,蓝色小菱形,blue | diamond | geometric | small,小 | 方片 | 菱形 | 蓝色 | 蓝色小菱形 | 蓝色方块 | 钻石,CLDR release-46 annotations
🔺,red triangle pointed up,红色正三角,geometric | pointed | red | triangle | up,三角形 | 向上 | 正三角 | 红色 | 红色正三角,CLDR release-46 annotations
🔻,red triangle pointed down,红色倒三角,down | geometric | pointed | red | triangle,三角形 | 下 | 倒三角 | 向下 | 红色 | 红色倒三角,CLDR release-46 annotations
🔼,upwards button,向上三角形按钮,arrow | button | red | up | upwards,上 | 向上 | 向上三角形按钮 | 向上按钮 | 往上 | 箭头,CLDR release-46 annotations
🔽,downwards button,向下三角形按钮,arrow | button | down | downwards | red,下 | 向下 | 向下三角形按钮 | 向下按钮 | 往下 | 箭头,CLDR release-46 annotations
🕉,om,奥姆,Hindu | om | religion,印度 | 印度教 | 唵 | 奥姆 | 宗教,CLDR release-46 annotations
🕊,dove,鸽,bird | dove | fly | ornithology | peace,和平 | 和平象征 | 飞翔 | 鸟 | 鸽 | 鸽子,CLDR release-46 annotations
🕋,kaaba,克尔白,hajj | islam | kaaba | Muslim | religion | umrah,伊斯兰 | 克尔白 | 天房 | 宗教 | 穆斯林,CLDR release-46 annotations
🕌,mosque,清真寺,islam | masjid | mosque | Muslim | religion,伊斯兰 | 宗教 | 清真寺 | 穆斯林,CLDR release-46 annotations
🕍,synagogue,犹太教堂,Jew | Jewish | judaism | religion | synagogue | temple,会堂 | 宗教 | 犹太 | 犹太教 | 犹太教堂,CLDR release-46 annotations
🕎,menorah,烛台,candelabrum | candlestick | hanukkah | jewish | judaism | menorah | religion,光明节 | 宗教 | 灯台 | 烛台 | 犹太 | 犹太教,CLDR release-46 annotations
🕐,one o’clock,一点,1 | 1:00 | clock | o’clock | one | time,00 | 1 | 1:00 | 一点 | 时间,CLDR release-46 annotations
🕑,two o’clock,两点,2 | 2:00 | clock | o’clock | time | two,00 | 2 | 2:00 | 两点 | 时钟,CLDR release-46 annotations
🕒,three o’clock,三点,3 | 3:00 | clock | o’clock | three | time,00 | 3 | 3:00 | 三点 | 时钟,CLDR release-46 annotations
🕓,four o’clock,四点,4 | 4:00 | clock | four | o’clock | time,00 | 4 | 4:00 | 四点 | 时钟,CLDR release-46 annotations
🕔,five o’clock,五点,5 | 5:00 | clock | five | o’clock | time,00 | 5 | 5:00 | 五点 | 时钟,CLDR release-46 annotations
🕕,six o’clock,六点,6 | 6:00 | clock | o’clock | six | time,00 | 6 | 6:00 | 六点 | 时钟,CLDR release-46 annotations
🕖,seven o’clock,七点,0 | 7 | 7:00 | clock | o’clock | seven,00 | 7 | 7:00 | 七点 | 时钟,CLDR release-46 annotations
🕗,eight o’clock,八点,8 | 8:00 | clock | eight | o’clock | time,00 | 8 | 8:00 | 八点 | 时间 | 钟,CLDR release-46 annotations
🕘,nine o’clock,九点,9 | 9:00 | clock | nine | o’clock | time,00 | 9 | 9:00 | 九点 | 时钟,CLDR release-46 annotations
🕙,ten o’clock,十点,0 | 10 | 10:00 | clock | o’clock | ten,00 | 10 | 10:00 | 十点 | 时钟,CLDR release-46 annotations
🕚,eleven o’clock,十一点,11 | 11:00 | clock | eleven | o’clock | time,00 | 11 | 11:00 | 十一点 | 时钟,CLDR release-46 annotations
🕛,twelve o’clock,十二点,12 | 12:00 | clock | o’clock | time | twelve,00 | 12 | 12:00 | 十二点 | 整点 | 时间 | 点钟 | 钟,CLDR release-46 annotations
🕜,one-thirty,一点半,1 | 1:30 | 30 | clock | one | one-thirty | thirty | time,1 | 1:30 | 30 | 一点半 | 时间 | 钟,CLDR release-46 annotations
🕝,two-thirty,两点半,2 | 2:30 | 30 | clock | thirty | time | two | two-thirty,2 | 2:30 | 30 | 两点半 | 时间 | 钟,CLDR release-46 annotations
🕞,three-thirty,三点半,3 | 3:30 | 30 | clock | thirty | three | three-thirty | time,3 | 3:30 | 30 | 三点半 | 时间 | 钟,CLDR release-46 annotations
🕟,four-thirty,四点半,30 | 4 | 4:30 | clock | four | four-thirty | thirty | time,30 | 4 | 4:30 | 四点半 | 时间 | 钟,CLDR release-46 annotations
🕠,five-thirty,五点半,30 | 5 | 5:30 | clock | five | five-thirty | thirty | time,30 | 5 | 5:30 | 五点半 | 时钟,CLDR release-46 annotations
🕡,six-thirty,六点半,30 | 6 | 6:30 | clock | six | six-thirty | thirty,30 | 6 | 6:30 | 六点半 | 时钟,CLDR release-46 annotations
🕢,seven-thirty,七点半,30 | 7 | 7:30 | clock | seven | seven-thirty | thirty,30 | 7 | 7:30 | 七点半 | 时钟,CLDR release-46 annotations
🕣,eight-thirty,八点半,30 | 8 | 8:30 | clock | eight | eight-thirty | thirty | time,30 | 8 | 8:30 | 八点半 | 时钟,CLDR release-46 annotations
🕤,nine-thirty,九点半,30 | 9 | 9:30 | clock | nine | nine-thirty | thirty | time,30 | 9 | 9:30 | 九点半 | 时钟,CLDR release-46 annotations
🕥,ten-thirty,十点半,10 | 10:30 | 30 | clock | ten | ten-thirty | thirty | time,10 | 10:30 | 30 | 十点半 | 时钟,CLDR release-46 annotations
🕦,eleven-thirty,十一点半,11 | 11:30 | 30 | clock | eleven | eleven-thirty | thirty | time,11 | 11:30 | 30 | 十一点半 | 时钟,CLDR release-46 annotations
🕧,twelve-thirty,十二点半,12 | 12:30 | 30 | clock | thirty | time | twelve | twelve-thirty,12 | 12:30 | 30 | 十二点半 | 时钟,CLDR release-46 annotations
🕯,candle,蜡烛,candle | light,光 | 烛光 | 烛火 | 照明 | 燃烧 | 蜡烛,CLDR release-46 annotations
🕰,mantelpiece clock,座钟,clock | mantelpiece | time,台钟 | 壁炉钟 | 座钟 | 时钟,CLDR release-46 annotations
🕳,hole,洞,hole,井盖 | 坑 | 洞 | 陷阱,CLDR release-46 annotations
🕴,person in suit levitating,西装革履的人,business | levitating | person | suit,商务 | 正装 | 男 | 西装革履 | 西装革履的人,CLDR release-46 annotations
🕵,detective,侦探,detective | sleuth | spy,侦探 | 特工 | 男 | 间谍,CLDR release-46 annotations
🕶,sunglasses,墨镜,dark | eye | eyewear | glasses | sunglasses,太阳镜 | 墨镜,CLDR release-46 annotations
🕷,spider,蜘蛛,animal | insect | spider,昆虫 | 蜘蛛,CLDR release-46 annotations
🕸,spider web,蜘蛛网,spider | web,蛛网 | 蜘蛛 | 蜘蛛网,CLDR release-46 annotations
🕹,joystick,游戏操控杆,game | joystick | video | videogame,操控杆 | 游戏 | 游戏操控杆 | 电子游戏,CLDR release-46 annotations
🕺,man dancing,跳舞的男人,dance | dancer | dancing | elegant | festive | flair | flamenco | groove | let’s | man | salsa | tango,佛拉门戈 | 男人 | 男舞者 | 舞者 | 跳舞 | 跳舞的男人,CLDR release-46 annotations
🖇,linked paperclips,连起来的两个回形针,link | linked | paperclip | paperclips,万字夹 | 回形针 | 回纹针 | 曲别针 | 纸夹 | 连接 | 连接的回形针 | 连起来的两个回形针,CLDR release-46 annotations
🖊,pen,笔,ballpoint | pen,原子笔 | 圆珠笔 | 油笔 | 笔,CLDR release-46 annotations
🖋,fountain pen,钢笔,fountain | pen,写字 | 硬笔 | 笔 | 钢笔,CLDR release-46 annotations
🖌,paintbrush,画笔,paintbrush | painting,刷 | 毛笔 | 画刷 | 画笔 | 笔刷,CLDR release-46 annotations
🖍,crayon,蜡笔,crayon,油画棒 | 画棒 | 蜡笔,CLDR release-46 annotations
🖐,hand with fingers splayed,手掌,finger | fingers | hand | raised | splayed | stop,举起张开的手掌 | 击掌 | 布 | 手 | 手掌 | 禁止,CLDR release-46 annotations
🖕,middle finger,竖中指,finger | hand | middle,中指 | 反手 | 手 | 竖中指,CLDR release-46 annotations
🖖,vulcan salute,瓦肯举手礼,finger | hand | hands | salute | Vulcan,手 | 敬礼 | 斯波克 | 星际迷航 | 瓦肯 | 瓦肯举手礼,CLDR release-46 annotations
🖤,black heart,黑心,black | evil | heart | wicked,心 | 邪恶 | 黑 | 黑心 | 黑色 | 黑色的心,CLDR release-46 annotations
🖥,desktop computer,台式电脑,computer | desktop | monitor,PC | 个人电脑 | 台式 | 台式电脑 | 显示器 | 显示屏 | 电脑 | 计算机,CLDR release-46 annotations
🖨,printer,打印机,computer | printer,印刷机 | 喷墨打印 | 复印 | 打印 | 打印机 | 扫描 | 激光打印,CLDR release-46 annotations
🖱,computer mouse,电脑鼠标,computer | mouse,有线鼠标 | 激光鼠标 | 点击 | 点按 | 电脑 | 电脑鼠标 | 鼠标,CLDR release-46 annotations
🖲,trackball,轨迹球,computer | trackball,有线鼠标 | 电脑 | 轨迹球 | 追踪球 | 鼠标,CLDR release-46 annotations
🖼,framed picture,带框的画,art | frame | framed | museum | painting | picture,加框的照片 | 博物馆 | 带框的画 | 框 | 照片 | 画 | 画框 | 艺术,CLDR release-46 annotations
🗂,card index dividers,索引分隔文件夹,card | dividers | index,分隔 | 分隔卡 | 文件夹 | 索引 | 索引分隔文件夹 | 隔板,CLDR release-46 annotations
🗃,card file box,卡片盒,box | card | file,卡片 | 卡片盒 | 存档 | 文件 | 标签 | 档案 | 箱 | 索引,CLDR release-46 annotations
🗄,file cabinet,文件柜,cabinet | file | filing | paper,存档 | 归档 | 收纳 | 文件柜 | 柜 | 档案,CLDR release-46 annotations
🗑,wastebasket,垃圾桶,can | garbage | trash | waste | wastebasket,垃圾 | 垃圾桶 | 垃圾篓 | 废纸篓,CLDR release-46 annotations
🗒,spiral notepad,线圈本,note | notepad | pad | spiral,文具 | 笔记本 | 线圈 | 线圈本 | 记事本,CLDR release-46 annotations
🗓,spiral calendar,线圈日历,calendar | pad | spiral,日历 | 日期 | 线圈 | 线圈日历 | 记事本,CLDR release-46 annotations
🗜,clamp,夹钳,clamp | compress | tool | vice,压缩 | 夹具 | 夹钳 | 工具 | 机械 | 紧固,CLDR release-46 annotations
🗝,old key,老式钥匙,clue | key | lock | old,古老的钥匙 | 旧钥匙 | 线索 | 老式钥匙 | 钥匙,CLDR release-46 annotations
🗞,rolled-up newspaper,报纸卷,news | newspaper | paper | rolled | rolled-up,卷起 | 卷起的报纸 | 报纸 | 报纸卷 | 新闻 | 纸,CLDR release-46 annotations
🗡,dagger,匕首,dagger | knife | weapon,剑 | 匕首 | 武器 | 短刀 | 短剑,CLDR release-46 annotations
🗣,speaking head,说话,face | head | silhouette | speak | speaking,剪影 | 头 | 脸 | 讲话 | 说话 | 说话头,CLDR release-46 annotations
🗨,left speech bubble,朝左的话语气泡,balloon | bubble | dialog | left | speech,对话框 | 朝左的话语气泡 | 话语,CLDR release-46 annotations
🗯,right anger bubble,愤怒话语气泡,anger | angry | balloon | bubble | mad | right,右倾愤怒对话框 | 对话框 | 愤怒 | 愤怒话语气泡,CLDR release-46 annotations
🗳,ballot box with ballot,投票箱,ballot | box,投票 | 投票箱 | 盒子 | 票箱 | 选举 | 选票,CLDR release-46 annotations
🗺,world map,世界地图,map | world,世界 | 世界地图 | 地图,CLDR release-46 annotations
🗻,mount fuji,富士山,fuji | mount | mountain | nature,大自然 | 富士山 | 山,CLDR release-46 annotations
🗼,Tokyo tower,东京塔,Tokyo | tower,东京 | 东京塔 | 塔,CLDR release-46 annotations
🗽,Statue of Liberty,自由女神像,liberty | Liberty | new | ny | nyc | statue | Statue | york,塑像 | 纽约 | 自由 | 自由女神像 | 雕塑,CLDR release-46 annotations
🗾,map of Japan,日本地图,Japan | map,地图 | 日本 | 日本地图,CLDR release-46 annotations
🗿,moai,摩埃,face | moai | moyai | statue | stoneface | travel,复活岛 | 复活节岛 | 复活节岛石像 | 摩埃 | 摩艾 | 摩艾石像 | 旅行 | 毛埃 | 脸,CLDR release-46 annotations
😀,grinning face,嘿嘿,cheerful | cheery | face | grin | grinning | happy | laugh | nice | smile | smiling | teeth,嘿嘿 | 笑脸 | 脸 | 高兴,CLDR release-46 annotations
😁,beaming face with smiling eyes,嘻嘻,beaming | eye | eyes | face | grin | grinning | happy | nice | smile | smiling | teeth,嘻嘻 | 笑脸 | 笑颜 | 脸 | 露齿而笑,CLDR release-46 annotations
😂,face with tears of joy,笑哭了,crying | face | feels | funny | haha | happy | hehe | hilarious | joy | laugh | lmao | lol | rofl | roflmao | tear,lol | 喜极而泣 | 大笑 | 眼泪 | 笑 | 笑哭 | 笑哭了 | 脸,CLDR release-46 annotations
😃,grinning face with big eyes,哈哈,awesome | big | eyes | face | grin | grinning | happy | mouth | open | smile | smiling | teeth | yay,哈哈 | 太棒了 | 开口笑 | 开口笑脸 | 笑脸 | 脸 | 高兴,CLDR release-46 annotations
😄,grinning face with smiling eyes,大笑,eye | eyes | face | grin | grinning | happy | laugh | lol | mouth | open | smile | smiling,哈哈 | 大笑 | 开口而笑的脸 | 开心 | 笑 | 脸 | 露齿而笑 | 高兴,CLDR release-46 annotations
😅,grinning face with sweat,苦笑,cold | dejected | excited | face | grinning | mouth | nervous | open | smile | smiling | stress | stressed | sweat,冷汗 | 出汗 | 开口冒冷汗的脸 | 汗 | 泄气 | 紧张 | 脸 | 苦笑,CLDR release-46 annotations
😆,grinning squinting face,斜眼笑,closed | eyes | face | grinning | haha | hahaha | happy | laugh | lol | mouth | open | rofl | smile | smiling | squinting,lol | 咧嘴笑 | 哈哈 | 开心 | 斜眼笑 | 眯眼 | 眯眼大笑 | 笑 | 脸 | 高兴,CLDR release-46 annotations
😇,smiling face with halo,微笑天使,angel | angelic | angels | blessed | face | fairy | fairytale | fantasy | halo | happy | innocent | peaceful | smile | smiling | spirit | tale,光环 | 天使 | 天真 | 幻想 | 微笑 | 微笑天使 | 脸 | 顶罩光环的笑脸,CLDR release-46 annotations
😈,smiling face with horns,恶魔微笑,demon | devil | evil | face | fairy | fairytale | fantasy | horns | purple | shade | smile | smiling | tale,幻想 | 微笑 | 恶魔微笑 | 犄角 | 神话故事 | 脸 | 邪魔,CLDR release-46 annotations
😉,winking face,眨眼,face | flirt | heartbreaker | sexy | slide | tease | wink | winking | winks,媚眼 | 撩拨 | 眨眼 | 眨眼的脸 | 笑 | 脸,CLDR release-46 annotations
😊,smiling face with smiling eyes,羞涩微笑,blush | eye | eyes | face | glad | satisfied | smile | smiling,害羞 | 微笑 | 满意 | 笑脸相迎 | 羞涩 | 羞涩微笑 | 脸 | 脸红,CLDR release-46 annotations
😋,face savoring food,好吃,delicious | eat | face | food | full | hungry | savor | smile | smiling | tasty | um | yum | yummy,口水 | 哈喇子 | 好吃 | 津津有味 | 流口水 | 美味 | 脸,CLDR release-46 annotations
😌,relieved face,松了口气,calm | face | peace | relief | relieved | zen,如释重负 | 松了口气 | 松口气 | 脸 | 蝉,CLDR release-46 annotations
😍,smiling face with heart-eyes,花痴,143 | bae | eye | face | feels | heart-eyes | hearts | ily | kisses | love | romance | romantic | smile | xoxo,我爱你 | 爱 | 红心 | 脸 | 花痴,CLDR release-46 annotations
😎,smiling face with sunglasses,墨镜笑脸,awesome | beach | bright | bro | chilling | cool | face | rad | relaxed | shades | slay | smile | style | sunglasses | swag | win,太阳镜 | 眼镜 | 耶 | 脸 | 酷 | 墨镜 | 墨镜笑脸,CLDR release-46 annotations
😏,smirking face,得意,boss | dapper | face | flirt | homie | kidding | leer | shade | slick | sly | smirk | smug | snicker | suave | suspicious | swag,假笑 | 冷笑 | 得意 | 得意的笑 | 脸 | 诡异地笑,CLDR release-46 annotations
😐,neutral face,冷漠,awkward | blank | deadpan | expressionless | face | fine | jealous | meh | neutral | oh | shade | straight | unamused | unhappy | unimpressed | whatever,冷漠 | 无感 | 脸 | 表情空洞 | 面无表情,CLDR release-46 annotations
😑,expressionless face,无语,awkward | dead | expressionless | face | fine | inexpressive | jealous | meh | not | oh | omg | straight | uh | unhappy | unimpressed | whatever,无语 | 没有反应 | 绷着脸 | 脸 | 茫然 | 面无表情,CLDR release-46 annotations
😒,unamused face,不高兴,... | bored | face | fine | jealous | jel | jelly | pissed | smh | ugh | uhh | unamused | unhappy | weird | whatever,不屑 | 不服 | 不爽的脸 | 不高兴 | 脸 | 郁闷 | 鄙视 | 随便啦,CLDR release-46 annotations
😓,downcast face with sweat,汗,close | cold | downcast | face | feels | headache | nervous | sad | scared | sweat | yikes,冒冷汗 | 冒汗 | 冷 | 尴尬 | 担心 | 汗 | 脸,CLDR release-46 annotations
😔,pensive face,沉思,awful | bored | dejected | died | disappointed | face | losing | lost | pensive | sad | sucks,失落 | 心事重重 | 忧虑 | 沉思 | 脸,CLDR release-46 annotations
😕,confused face,困扰,befuddled | confused | confusing | dunno | face | frown | hm | meh | not | sad | sorry | sure,不懂 | 不确定 | 困惑 | 困扰 | 疑惑 | 脸,CLDR release-46 annotations
😖,confounded face,困惑,annoyed | confounded | confused | cringe | distraught | face | feels | frustrated | mad | sad,困惑 | 困惑的脸 | 焦头烂额 | 纠结 | 脸,CLDR release-46 annotations
😗,kissing face,亲亲,143 | date | dating | face | flirt | ily | kiss | love | smooch | smooches | xoxo | you,亲亲 | 亲吻 | 吻 | 脸,CLDR release-46 annotations
😘,face blowing a kiss,飞吻,adorbs | bae | blowing | face | flirt | heart | ily | kiss | love | lover | miss | muah | romantic | smooch | xoxo | you,亲亲 | 想你 | 我爱你 | 眨眼 | 脸 | 飞吻,CLDR release-46 annotations
😙,kissing face with smiling eyes,微笑亲亲,143 | closed | date | dating | eye | eyes | face | flirt | ily | kiss | kisses | kissing | love | night | smile | smiling,亲亲 | 吻 | 微笑 | 微笑亲亲 | 笑颜亲吻 | 脸,CLDR release-46 annotations
😚,kissing face with closed eyes,羞涩亲亲,143 | bae | blush | closed | date | dating | eye | eyes | face | flirt | ily | kisses | kissing | smooches | xoxo,亲亲 | 吻 | 我爱你 | 羞涩 | 羞涩亲亲 | 脸 | 闭眼 | 闭眼亲吻,CLDR release-46 annotations
😛,face with tongue,吐舌,awesome | cool | face | nice | party | stuck-out | sweet | tongue,吐舌 | 吐舌头的脸 | 太好了 | 脸 | 舌头 | 调皮,CLDR release-46 annotations
😜,winking face with tongue,单眼吐舌,crazy | epic | eye | face | funny | joke | loopy | nutty | party | stuck-out | tongue | wacky | weirdo | wink | winking | yolo,单眼 | 单眼吐舌 | 古怪 | 吐舌 | 开玩笑 | 怪人 | 挤眉弄眼 | 脸,CLDR release-46 annotations
😝,squinting face with tongue,眯眼吐舌,closed | eye | eyes | face | gross | horrible | omg | squinting | stuck-out | taste | tongue | whatever | yolo,可怕 | 吐舌 | 尝 | 眯眼 | 眯眼吐舌 | 眼睛 | 脸 | 都好 | 随便,CLDR release-46 annotations
😞,disappointed face,失望,awful | blame | dejected | disappointed | face | fail | losing | sad | unhappy,不高兴 | 失望 | 失望的脸 | 脸 | 难过,CLDR release-46 annotations
😟,worried face,担心,anxious | butterflies | face | nerves | nervous | sad | stress | stressed | surprised | worried | worry,不高兴 | 伤心 | 忧心的脸 | 意外 | 担心 | 担忧 | 焦虑 | 紧张 | 脸,CLDR release-46 annotations
😠,angry face,生气,anger | angry | blame | face | feels | frustrated | mad | maddening | rage | shade | unhappy | upset,不爽 | 不高兴 | 怒 | 愤怒 | 生气 | 脸,CLDR release-46 annotations
😡,enraged face,怒火中烧,anger | angry | enraged | face | feels | mad | maddening | pouting | rage | red | shade | unhappy | upset,发火 | 发飙 | 怒 | 怒火中烧 | 生气 | 脸,CLDR release-46 annotations
😢,crying face,哭,awful | cry | crying | face | feels | miss | sad | tear | triste | unhappy,伤心 | 哀伤 | 哭 | 哭脸 | 泪 | 脸,CLDR release-46 annotations
😣,persevering face,痛苦,concentrate | concentration | face | focus | headache | persevere | persevering,专注 | 入定 | 头痛 | 忍耐 | 痛苦 | 脸 | 难受,CLDR release-46 annotations
😤,face with steam from nose,傲慢,anger | angry | face | feels | fume | fuming | furious | fury | mad | nose | steam | triumph | unhappy | won,不爽 | 傲慢 | 愤怒 | 气炸了 | 胜利 | 自负 | 赢 | 趾高气昂,CLDR release-46 annotations
😥,sad but relieved face,失望但如释重负,anxious | call | close | complicated | disappointed | face | not | relieved | sad | sweat | time | whew,下次吧 | 出冷汗 | 失望 | 失望但如释重负 | 失望但解脱 | 如释重负 | 脸,CLDR release-46 annotations
😦,frowning face with open mouth,啊,caught | face | frown | frowning | guard | mouth | open | scared | scary | surprise | what | wow,啊 | 惊讶 | 意外 | 目瞪口呆 | 脸,CLDR release-46 annotations
😧,anguished face,极度痛苦,anguished | face | forgot | scared | scary | stressed | surprise | unhappy | what | wow,极度痛苦 | 痛 | 痛啊 | 痛苦 | 脸 | 难受,CLDR release-46 annotations
😨,fearful face,害怕,afraid | anxious | blame | face | fear | fearful | scared | worried,不安 | 害怕 | 怕 | 恐怖 | 恐惧 | 脸,CLDR release-46 annotations
😩,weary face,累死了,crying | face | fail | feels | hungry | mad | nooo | sad | sleepy | tired | unhappy | weary,疲倦 | 疲劳 | 疲惫 | 累 | 累死了 | 脸,CLDR release-46 annotations
😪,sleepy face,困,crying | face | good | night | sad | sleep | sleeping | sleepy | tired,哭 | 困 | 想睡 | 满脸睡容 | 疲惫 | 睡觉 | 瞌睡 | 脸,CLDR release-46 annotations
😫,tired face,累,cost | face | feels | nap | sad | sneeze | tired,倦容 | 疲倦 | 疲劳 | 疲惫 | 累 | 脸,CLDR release-46 annotations
😬,grimacing face,龇牙咧嘴,awk | awkward | dentist | face | grimace | grimacing | grinning | smile | smiling,咬牙切齿 | 尴尬 | 牙医 | 脸 | 露齿 | 露齿而笑 | 鬼脸 | 龇牙咧嘴,CLDR release-46 annotations
